Data from Matlab    Data from Simulation    Results
FFFFFFFF81C2A13B    FFFFFFFF81C2A13B        TRUE      
FFFFFFFFB48ABAA3    FFFFFFFFB48ABAA3        TRUE      
FFFFFFFFD1330226    FFFFFFFFD1330226        TRUE      
FFFFFFFF40D49C42    FFFFFFFF40D49C42        TRUE      
FFFFFFFFFD4487F2    FFFFFFFFFD4487F2        TRUE      
0000000015AA33DB    0000000015AA33DB        TRUE      
FFFFFFFF87456B73    FFFFFFFF87456B73        TRUE      
FFFFFFFF97BC20EE    FFFFFFFF97BC20EE        TRUE      
FFFFFFFFB71102D5    FFFFFFFFB71102D5        TRUE      
0000000001E48469    0000000001E48469        TRUE      
00000000A6D77156    00000000A6D77156        TRUE      
FFFFFFFF9FAFE281    FFFFFFFF9FAFE281        TRUE      
0000000045845BE6    0000000045845BE6        TRUE      
00000000BF1505F4    00000000BF1505F4        TRUE      
FFFFFFFF78920988    FFFFFFFF78920988        TRUE      
00000000257748A8    00000000257748A8        TRUE      
FFFFFFFF6406D710    FFFFFFFF6406D710        TRUE      
FFFFFFFFA7209FB0    FFFFFFFFA7209FB0        TRUE      
FFFFFFFFC47E793E    FFFFFFFFC47E793E        TRUE      
0000000063D7FC56    0000000063D7FC56        TRUE      
00000001544AE54F    00000001544AE54F        TRUE      
000000004D8A1BE4    000000004D8A1BE4        TRUE      
00000000DADB2A8C    00000000DADB2A8C        TRUE      
0000000021555310    0000000021555310        TRUE      
0000000050C731E6    0000000050C731E6        TRUE      
000000001DCDAC56    000000001DCDAC56        TRUE      
00000000129D1EE8    00000000129D1EE8        TRUE      
FFFFFFFFF1804818    FFFFFFFFF1804818        TRUE      
00000000726B7D60    00000000726B7D60        TRUE      
FFFFFFFFDB6365DA    FFFFFFFFDB6365DA        TRUE      
FFFFFFFF828158A8    FFFFFFFF828158A8        TRUE      
FFFFFFFFC83259F6    FFFFFFFFC83259F6        TRUE      
0000000084EC4426    0000000084EC4426        TRUE      
FFFFFFFFED5F665C    FFFFFFFFED5F665C        TRUE      
FFFFFFFFB115464A    FFFFFFFFB115464A        TRUE      
000000009C891548    000000009C891548        TRUE      
FFFFFFFFA2A55875    FFFFFFFFA2A55875        TRUE      
FFFFFFFFBCC9428A    FFFFFFFFBCC9428A        TRUE      
FFFFFFFFD8F48EE4    FFFFFFFFD8F48EE4        TRUE      
0000000058147248    0000000058147248        TRUE      
FFFFFFFF66CC3193    FFFFFFFF66CC3193        TRUE      
00000000052E81B0    00000000052E81B0        TRUE      
FFFFFFFF61AA8B0B    FFFFFFFF61AA8B0B        TRUE      
FFFFFFFF2341259B    FFFFFFFF2341259B        TRUE      
FFFFFFFF67E4C17F    FFFFFFFF67E4C17F        TRUE      
FFFFFFFF6C2A02D4    FFFFFFFF6C2A02D4        TRUE      
FFFFFFFFE1F6433D    FFFFFFFFE1F6433D        TRUE      
FFFFFFFFF7E67CAD    FFFFFFFFF7E67CAD        TRUE      
0000000029AFE19F    0000000029AFE19F        TRUE      
00000000479722C3    00000000479722C3        TRUE      
000000000DAA80E7    000000000DAA80E7        TRUE      
00000000228B4DB1    00000000228B4DB1        TRUE      
FFFFFFFF3A5C2C65    FFFFFFFF3A5C2C65        TRUE      
FFFFFFFFC2859ED3    FFFFFFFFC2859ED3        TRUE      
FFFFFFFF9B505FA2    FFFFFFFF9B505FA2        TRUE      
FFFFFFFF72E3DFCE    FFFFFFFF72E3DFCE        TRUE      
FFFFFFFFDCB5B2D2    FFFFFFFFDCB5B2D2        TRUE      
FFFFFFFF606E4B59    FFFFFFFF606E4B59        TRUE      
000000005F711B34    000000005F711B34        TRUE      
00000000C9373368    00000000C9373368        TRUE      
FFFFFFFFEF04AF18    FFFFFFFFEF04AF18        TRUE      
FFFFFFFFA809D98E    FFFFFFFFA809D98E        TRUE      
00000000329272DF    00000000329272DF        TRUE      
FFFFFFFF9970D8FF    FFFFFFFF9970D8FF        TRUE      
00000000193EDD7A    00000000193EDD7A        TRUE      
000000000232DF8B    000000000232DF8B        TRUE      
00000000045FA651    00000000045FA651        TRUE      
000000001D10C95D    000000001D10C95D        TRUE      
0000000079B2F2AD    0000000079B2F2AD        TRUE      
000000001D8616D0    000000001D8616D0        TRUE      
FFFFFFFF39B917A4    FFFFFFFF39B917A4        TRUE      
000000005DBCEE22    000000005DBCEE22        TRUE      
0000000033D7F230    0000000033D7F230        TRUE      
FFFFFFFFE37FA690    FFFFFFFFE37FA690        TRUE      
FFFFFFFF3A6EDBDF    FFFFFFFF3A6EDBDF        TRUE      
000000010061E6A5    000000010061E6A5        TRUE      
FFFFFFFFF09D6B46    FFFFFFFFF09D6B46        TRUE      
000000008968259E    000000008968259E        TRUE      
FFFFFFFFB90BB32E    FFFFFFFFB90BB32E        TRUE      
00000000466D0FDB    00000000466D0FDB        TRUE      
FFFFFFFFE9032F1C    FFFFFFFFE9032F1C        TRUE      
000000000FE49783    000000000FE49783        TRUE      
000000002CEB2725    000000002CEB2725        TRUE      
00000000F8CACBF1    00000000F8CACBF1        TRUE      
000000001CBEF920    000000001CBEF920        TRUE      
FFFFFFFFB54756A3    FFFFFFFFB54756A3        TRUE      
0000000080C7FB9E    0000000080C7FB9E        TRUE      
FFFFFFFFF495ABBE    FFFFFFFFF495ABBE        TRUE      
00000000676E341A    00000000676E341A        TRUE      
000000008A87A9F4    000000008A87A9F4        TRUE      
FFFFFFFFED537E87    FFFFFFFFED537E87        TRUE      
0000000046100287    0000000046100287        TRUE      
000000007C269829    000000007C269829        TRUE      
FFFFFFFF42FA8425    FFFFFFFF42FA8425        TRUE      
FFFFFFFFE231FCC1    FFFFFFFFE231FCC1        TRUE      
FFFFFFFFF641E765    FFFFFFFFF641E765        TRUE      
000000001088F20F    000000001088F20F        TRUE      
00000000B5C48078    00000000B5C48078        TRUE      
00000000A861FE2B    00000000A861FE2B        TRUE      
FFFFFFFFCC3C221D    FFFFFFFFCC3C221D        TRUE      
0000000085965B08    0000000085965B08        TRUE      
0000000057CE6EB2    0000000057CE6EB2        TRUE      
FFFFFFFFFCDEB731    FFFFFFFFFCDEB731        TRUE      
FFFFFFFFED4AC1F0    FFFFFFFFED4AC1F0        TRUE      
FFFFFFFFE8E719C1    FFFFFFFFE8E719C1        TRUE      
0000000159122051    0000000159122051        TRUE      
000000003E35170B    000000003E35170B        TRUE      
0000000078F786C1    0000000078F786C1        TRUE      
FFFFFFFFC9726980    FFFFFFFFC9726980        TRUE      
0000000055FDEA3D    0000000055FDEA3D        TRUE      
000000006560BF56    000000006560BF56        TRUE      
000000005FC9D6E0    000000005FC9D6E0        TRUE      
00000000B6BB970C    00000000B6BB970C        TRUE      
00000001314C9D76    00000001314C9D76        TRUE      
FFFFFFFFA805016D    FFFFFFFFA805016D        TRUE      
000000009514DF34    000000009514DF34        TRUE      
FFFFFFFF97510BE4    FFFFFFFF97510BE4        TRUE      
FFFFFFFFD0B7501D    FFFFFFFFD0B7501D        TRUE      
00000000D1A59226    00000000D1A59226        TRUE      
000000003F9674A3    000000003F9674A3        TRUE      
0000000051BCD941    0000000051BCD941        TRUE      
FFFFFFFFB3A498BA    FFFFFFFFB3A498BA        TRUE      
00000000AFB60EDD    00000000AFB60EDD        TRUE      
